Name,ID,Nearest Town,County,URL
Aitkin,1004000,Libby,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01004000
Anderson,1003100,Sheshebee,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01003100
Bachelor,1016900,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01016900
Ball Bluff,1004600,Jacobson,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01004600
Bass,1006300,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01006300
Bass,1007300,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01007300
Bass,1018300,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01018300
Bass,1019500,Swatara,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01019500
Bay,1004900,Jacobson,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01004900
Bear,1006400,McGrath,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01006400
Bible,1014400,Hill City,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01014400
Big Pine,1015700,Cutler,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01015700
Big Sandy,1006200,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01006200
Birch,1020600,White Hawk,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01020600
Black Shadow,1016500,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01016500
Blackface,1004500,Ball Bluff,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01004500
Blind,1018800,Pine Knoll,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01018800
Blue,1018100,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01018100
Bone,1025400,Tamarack,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01025400
Boot,1005500,Jacobson,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01005500
Brown,1007800,Libby,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01007800
Brown,1021000,Little Pine,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01021000
Camp,1003200,Tamarack,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01003200
Camp,1009800,Kimberly,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01009800
Camp,1015500,Bennettville,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01015500
Camp,1022300,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01022300
Carlson,1016600,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01016600
Cedar,1006500,McGrath,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01006500
Cedar,1020900,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01020900
Cedar(Main Basin),1020901,,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01020901
Cedar(N.E. Arm),1020902,,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01020902
Cedar(West Bay),1020903,,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01020903
Chamberlin,1014500,Hill City,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01014500
Clear,1009300,Glen,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01009300
Cutaway,1005600,Balsam,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01005600
Dam,1009600,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01009600
Davis,1007100,,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01007100
Davis (Main Bay),1007101,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01007101
Deer,1008600,Malmo,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01008600
Diamond,1017100,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01017100
Dogfish,1018500,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01018500
Douglas,1000900,Tamarack,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01000900
Dummer,1017500,Bennettville,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01017500
Elm Island,1012300,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01012300
Esquagamah,1014700,Palisade,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01014700
Farm Island,1015900,Bennettville,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01015900
Fleming,1010500,Palisade,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01010500
Floodwood Pond,1002100,Hartley Spur,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01002100
Flowage,1006100,Minnewawa,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01006100
Four,1011600,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01011600
Four,1016200,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01016200
French,1010400,Palisade,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01010400
Glacier,1004200,Balsam,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01004200
Gregg,1015800,Bennettville,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01015800
Gun,1009900,Palisade,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01009900
Hammal,1016100,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01016100
Hanging Kettle,1017000,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01017000
Hanson,1013200,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01013200
Hay,1005900,Jacobson,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01005900
Hickory,1017900,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01017900
Hill,1014200,Hill City,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01014200
Hill,1016800,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01016800
Hill (North Basin),1014201,,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01014201
Hill (South Basin),1014202,,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01014202
Holy Water,1020100,Shovel Lake,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01020100
Horseshoe,1003400,Tamarack,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01003400
Horseshoe,1015400,Bennettville,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01015400
Island,1002200,Tamarack,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01002200
Jenkins,1010000,Palisade,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01010000
Jewett WMA Impoundment,1038300,,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01038300
Johnson,1013100,Rossburg,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01013100
Johnson,1023200,Bennettville,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01023200
Killroy,1023800,Glory,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01023800
Landgren,1017200,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01017200
Langs,1010800,Hill City,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01010800
Libby,1008000,Libby,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01008000
Lily,1008800,Thor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01008800
Linde,1012100,Glory,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01012100
Lingroth,1012800,Glory,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01012800
Little Ball Bluff,1005700,Jacobson,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01005700
Little Blackface,1004800,Ball Bluff,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01004800
Little Hill Impound.,1043300,,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01043300
Little McKinney,1019700,Swatara,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01019700
Little Pine,1017600,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01017600
Little Spruce,1015000,White Hawk,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01015000
Little Turtle,1021700,Bennettville,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01021700
Lone,1012500,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01012500
Long,1004700,Ball Bluff,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01004700
Long,1008900,Glen,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01008900
Long,1010100,Palisade,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01010100
Loon,1002400,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01002400
Mallard,1014900,Bennettville,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01014900
Mandy,1006800,East Lake,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01006800
McKinney,1019900,Swatara,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01019900
Minnewawa,1003300,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01003300
Monson,1012600,Glory,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01012600
Moose,1014000,Haypoint,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01014000
Moulton,1021200,Emily,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01021200
Mud,1002900,Grayling,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01002900
Mud,1003500,Minnewawa,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01003500
Nelson,1001000,Tamarack,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01001000
Newstrom,1009700,Kimberly,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01009700
Nord,1011700,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01011700
Otter,1019600,Swatara,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01019600
Pickerel,1018200,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01018200
Pine,1000100,Finlayson,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01000100
Pine Island,1016700,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01016700
Poor Farm,1018400,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01018400
Porcupine,1006600,Dads Corner,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01006600
Portage,1006900,Kimberly,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01006900
Previs,1014100,Hill City,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01014100
Rabbit,1009100,Glen,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01009100
Raspberry,1011800,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01011800
Rat,1007700,Palisade,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01007700
Rat House,1005300,Ball Bluff,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01005300
Red,1010700,Palisade,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01010700
Remote,1003800,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01003800
Rice,1000500,Tamarack,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01000500
Rice,1006700,Thor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01006700
Ripple,1014600,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01014600
Rock,1007200,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01007200
Round,1002300,Tamarack,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01002300
Round,1007000,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01007000
Round,1013700,Aitkin,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01013700
Round,1020400,Garrison,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01020400
Round,1021900,Bennettville,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01021900
Sanders,1007600,Libby,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01007600
Sandy River,1006000,Minnewawa,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01006000
Savanna,1001400,McGregor,Aitkin,https://www.dnr.state.mn.us/lakefind/lake.html?id=01001400
